poll_id,title,date,mkr_voted,unique_voters,top_delegate_share_pct,turnout_pct,anomaly_mkr_gt_supply,low_turnout
1246,"Atlas Edit Weekly Cycle Proposal - May 12, 2025",2025-05-12T16:00:00.000Z,134055.00307098284,12,54.20632559164136,15.368169194990525,False,False
1247,"SparkLend Ethereum - Adjust DAI Interest Rate Model - May 12, 2025",2025-05-12T16:00:00.000Z,134055.00307098284,12,54.20632559164136,15.368169194990525,False,False
1248,"SparkLend Ethereum - Adjust USDS Interest Rate Model - May 12, 2025",2025-05-12T16:00:00.000Z,134055.00307098284,12,54.20632559164136,15.368169194990525,False,False
1249,"SparkLend Ethereum - Reduce WBTC Liquidation Threshold - May 12, 2025",2025-05-12T16:00:00.000Z,134055.00307098284,12,54.20632559164136,15.368169194990525,False,False
1250,"Spark Liquidity Layer Mainnet - Increase USDS Mint and USDC Swap Rate Limits - May 12, 2025",2025-05-12T16:00:00.000Z,134055.00307098284,12,54.20632559164136,15.368169194990525,False,False
1251,"Spark Liquidity Layer Mainnet - Increase ALLOCATOR-SPARK-A Maximum Debt Ceiling - May 12, 2025",2025-05-12T16:00:00.000Z,134055.00307098284,12,54.20632559164136,15.368169194990525,False,False
1252,"Spark Liquidity Layer Base - Spark USDC Morpho Vault - Increase cbBTC Pool Supply Cap - May 12, 2025",2025-05-12T16:00:00.000Z,134055.00307098284,12,54.20632559164136,15.368169194990525,False,False
1253,"Spark Liquidity Layer Mainnet and Unichain - Onboard Unichain to the Spark Liquidity Layer - May 12, 2025",2025-05-12T16:00:00.000Z,134055.00307098284,12,54.20632559164136,15.368169194990525,False,False
1254,"Spark Liquidity Layer Mainnet and OP Mainnet - Onboard OP Mainnet to the Spark Liquidity Layer - May 12, 2025",2025-05-12T16:00:00.000Z,134055.00307098284,12,54.20632559164136,15.368169194990525,False,False
1245,"Atlas Edit Weekly Cycle Proposal - May 5, 2025",2025-05-05T16:00:00.000Z,134258.93976277317,13,54.12398724802863,15.391548655008444,False,False
1244,"Atlas Edit Weekly Cycle Proposal - April 28, 2025",2025-04-28T16:00:00.000Z,134174.5371576795,12,54.15754097486857,15.381872675105699,False,False
1230,"Atlas Edit Monthly Cycle Proposal (AEP-10) - April 14, 2025",2025-04-14T16:00:00.000Z,134109.2891534896,16,54.17892508630349,15.3743925934597,False,False
1231,"Atlas Edit Monthly Cycle Proposal (AEP-3) - April 14, 2025",2025-04-14T16:00:00.000Z,134109.2891534896,16,54.17892508630349,15.3743925934597,False,False
1232,"Atlas Edit Monthly Cycle Proposal (AEP-8) - April 14, 2025",2025-04-14T16:00:00.000Z,134109.2891534896,16,54.17892508630349,15.3743925934597,False,False
1234,"Atlas Edit Weekly Cycle Proposal - April 21, 2025",2025-04-21T16:00:00.000Z,134109.07391388397,13,54.17901204127327,15.374367918224898,False,False
1235,"Activate STAR2 Liquidity Layer on Mainnet - April 21, 2025",2025-04-21T16:00:00.000Z,134109.07391388397,13,54.17901204127327,15.374367918224898,False,False
1236,"Spark Liquidity Layer Mainnet - Onboard Aave Core USDT - April 21, 2025",2025-04-21T16:00:00.000Z,134109.07391388397,13,54.17901204127327,15.374367918224898,False,False
1237,"Spark Liquidity Layer Mainnet - Onboard SparkLend USDT - April 21, 2025",2025-04-21T16:00:00.000Z,134109.07391388397,13,54.17901204127327,15.374367918224898,False,False
1238,"SparkLend Ethereum - Adjust USDT Cap Automator Parameters - April 21, 2025",2025-04-21T16:00:00.000Z,134109.07391388397,13,54.17901204127327,15.374367918224898,False,False
1239,"SparkLend Ethereum - Update DAI Interest Rate Model - April 21, 2025",2025-04-21T16:00:00.000Z,134109.07391388397,13,54.17901204127327,15.374367918224898,False,False
1240,"SparkLend Ethereum - Update USDC Interest Rate Model - April 21, 2025",2025-04-21T16:00:00.000Z,134109.07391388397,13,54.17901204127327,15.374367918224898,False,False
1241,"SparkLend Ethereum - Update USDS Interest Rate Model - April 21, 2025",2025-04-21T16:00:00.000Z,134109.07391388397,13,54.17901204127327,15.374367918224898,False,False
1242,"SparkLend Ethereum - Update USDT Interest Rate Model - April 21, 2025",2025-04-21T16:00:00.000Z,134109.07391388397,13,54.17901204127327,15.374367918224898,False,False
1243,"System Parameter Changes - April 21, 2025",2025-04-21T16:00:00.000Z,134109.07391388397,13,54.17901204127327,15.374367918224898,False,False
1233,"Atlas Edit Weekly Cycle Proposal - April 14, 2025",2025-04-14T16:00:00.000Z,133994.84414210173,11,54.27493884783462,15.361272528872478,False,False
1221,"Atlas Edit Weekly Cycle Proposal - April 7, 2025",2025-04-07T16:00:00.000Z,134011.55258417895,10,54.27032366695995,15.36318799759013,False,False
1222,"Spark Liquidity Layer Mainnet - Onboard Curve USDC/USDT Pool - April 7, 2025",2025-04-07T16:00:00.000Z,134011.55258417895,10,54.27032366695995,15.36318799759013,False,False
1223,"Spark Liquidity Layer Mainnet - Onboard Curve sUSDS/USDT Pool - April 7, 2025",2025-04-07T16:00:00.000Z,134011.55258417895,10,54.27032366695995,15.36318799759013,False,False
